TeamName1,TeamName2,1,X,2
Turkey,Italy,8.14,3.9,1.53
Wales,Switzerland,3.97,3.06,2.21
Denmark,Finland,1.46,4.2,9.08
Belgium,Russia,1.74,3.7,5.37
England,Croatia,1.68,3.78,5.78
Austria,North Macedonia,1.68,3.58,6.25
Netherlands,Ukraine,1.67,3.68,6.1
Scotland,Czech Republic,2.98,2.98,2.77
Poland,Slovakia,1.84,3.29,5.34
Spain,Sweden,1.47,4.33,7.96
Hungary,Portugal,7.49,4.27,1.5
France,Germany,2.69,3.17,2.87
Finland,Russia,5.31,3.74,1.71
Turkey,Wales,2.3,3.12,3.51
Italy,Switzerland,1.74,3.56,5.34
Ukraine,North Macedonia,1.62,3.7,6.44
Denmark,Belgium,3.66,3.35,2.13
Netherlands,Austria,1.61,3.96,5.96
Sweden,Slovakia,1.84,3.37,4.95
Croatia,Czech Republic,2.22,3.27,3.53
England,Scotland,1.37,4.97,8.95
Hungary,France,8.42,4.75,1.4
Portugal,Germany,3.22,3.36,2.31
Spain,Poland,1.51,4.34,6.6
Italy,Wales,1.49,4.25,7.28
Switzerland,Turkey,2.4,3.3,3.1
North Macedonia,Netherlands,16.04,6.35,1.22
Ukraine,Austria,2.73,3.24,2.71
Finland,Belgium,13.3,6.37,1.23
Russia,Denmark,4.12,3.48,1.96
Croatia,Scotland,1.98,3.37,4.17
Czech Republic,England,7.01,4.56,1.47
Slovakia,Spain,14.21,6.12,1.24
Sweden,Poland,2.6,3.19,2.91
Germany,Hungary,1.26,6.17,11.63
Portugal,France,3.11,3.28,2.41
